Date,Strategy,SPY
2023-01-03,0.0,0.0
2023-01-04,0.0,0.0
2023-01-05,0.0,-0.011413321370421503
2023-01-06,0.0,0.0
2023-01-09,0.0,-0.0005669877300311654
2023-01-10,0.0,0.0
2023-01-11,0.0,0.0
2023-01-12,0.0,0.0
2023-01-13,0.0,0.0
2023-01-17,0.0,-0.0018318330744805378
2023-01-18,0.0,-0.017590981735032152
2023-01-19,0.0,-0.024742727748112925
2023-01-20,0.0,-0.006574739764030335
2023-01-23,0.0,0.0
2023-01-24,0.0,-0.0010732642927822056
2023-01-25,0.0,-0.0006988494451038996
2023-01-26,0.0,0.0
2023-01-27,0.0,0.0
2023-01-30,0.0,-0.012546762666705069
2023-01-31,0.0,0.0
2023-02-01,0.0,0.0
2023-02-02,0.0,0.0
2023-02-03,-0.028052551292163552,-0.010629155737525209
2023-02-06,-0.028559333840408874,-0.016675538299599335
2023-02-07,0.0,-0.0038150694939487195
2023-02-08,0.0,-0.01470804460426356
2023-02-09,0.0,-0.02324986513055638
2023-02-10,-0.04799209756728018,-0.02097035576126427
2023-02-13,-0.024578080459703,-0.009477485644032613
2023-02-14,0.0,-0.009933250032404195
2023-02-15,-0.009011510112649113,-0.006718075545372182
2023-02-16,-0.04218365892329856,-0.020394444333691752
2023-02-17,-0.06891313698883506,-0.02284168599674352
2023-02-21,-0.10082285149066261,-0.042444672212066825
2023-02-22,-0.09651296991660963,-0.043763921837667086
2023-02-23,0.0,-0.03867756987680704
2023-02-24,-0.015973873770290026,-0.048946590020034764
2023-02-27,-0.00688843301119324,-0.04570743195365812
2023-02-28,-0.018931834181548313,-0.04923462211464669
2023-03-01,-0.0408216287743548,-0.052881730172357866
2023-03-02,-0.01479060891946904,-0.04551556331890194
2023-03-03,0.0,-0.030207623707721565
2023-03-06,-0.01406421784592038,-0.029535930724423287
2023-03-07,-0.02503325597848327,-0.04441193676492472
2023-03-08,0.0,-0.0428523166800977
2023-03-09,-0.030809305894756944,-0.06051156363695176
2023-03-10,-0.05028738978391578,-0.07406786176689717
2023-03-13,-0.05024610007661878,-0.07538756967745297
2023-03-14,-0.00487984339911407,-0.060103613645617116
2023-03-15,0.0,-0.06598203477145359
2023-03-16,0.0,-0.0495945285664664
2023-03-17,0.0,-0.060707251313004695
2023-03-20,0.0,-0.051675447788320006
2023-03-21,0.0,-0.03922346363978557
2023-03-22,0.0,-0.05560126947987876
2023-03-23,0.0,-0.05304816399207679
2023-03-24,-0.015152030013256712,-0.046834278278720776
2023-03-27,-0.02427273555732068,-0.04505208446711062
2023-03-28,-0.028722685589988584,-0.04719578872788499
2023-03-29,-0.007612769114136775,-0.0333466465112936
2023-03-30,0.0,-0.027686750928465398
2023-03-31,0.0,-0.013982273996200556
2023-04-03,0.0,-0.01022502478748688
2023-04-04,-0.01830859913255356,-0.01571650064912178
2023-04-05,-0.03876270629326939,-0.018293360573790274
2023-04-06,-0.014219314002749672,-0.01446400786539126
2023-04-10,-0.021690741045469197,-0.013452496587494922
2023-04-11,-0.043867398159971316,-0.013187531502316219
2023-04-12,-0.04163616147707461,-0.017209745796208598
2023-04-13,-0.020169313694031965,-0.004155727977631307
2023-04-14,-0.02224043331205483,-0.006588304522103128
2023-04-17,-0.022122251142494442,-0.003023687756404825
2023-04-18,-0.014783779711395106,-0.0023733050235431596
2023-04-19,-0.007918403414876596,-0.002541877506388124
2023-04-20,-0.01371821628956893,-0.007985157066856097
2023-04-21,-0.012951911750419765,-0.0072143981523162815
2023-04-24,-0.011922249353598424,-0.00617875053342376
2023-04-25,-0.02760692600853476,-0.021954599084299975
2023-04-26,-0.0317254996564148,-0.026097113179044507
2023-04-27,-0.012449192887158511,-0.006708757084606831
2023-04-28,-0.004576692437890717,0.0
2023-05-01,-0.010084052268800936,-0.0010098010324459672
2023-05-02,-0.010570257734614064,-0.012237699721435513
2023-05-03,-0.013842226199284324,-0.019017792367859054
2023-05-04,-0.010570257734613953,-0.0259657785414229
2023-05-05,0.0,-0.007933998477368753
2023-05-08,-0.006438326091532165,-0.007669577609011435
2023-05-09,-0.011749628339576046,-0.012021390031836332
2023-05-10,0.0,-0.007405080494729099
2023-05-11,-0.007044197057463952,-0.009136244224847379
2023-05-12,-0.010694383718032885,-0.010434483592067112
2023-05-15,-0.009125316606753642,-0.007020496048363967
2023-05-16,-0.001825043315394792,-0.013656255158512987
2023-05-17,0.0,-0.0016829000595095511
2023-05-18,0.0,0.0
2023-05-19,-0.013068992126833545,-0.0014550460368697449
2023-05-22,-0.01584691303117658,-0.0010495848069439484
2023-05-23,-0.0312519114929426,-0.01226043652288833
2023-05-24,-0.035987080642930325,-0.019416675939574746
2023-05-25,0.0,-0.010924835128192312
2023-05-26,0.0,0.0
2023-05-30,0.0,0.0
2023-05-31,-0.05676765986464882,-0.005545203358715778
2023-06-01,-0.008501499063495732,0.0
2023-06-02,-0.01954593753649847,0.0
2023-06-05,-0.023435021401526424,-0.0019163251142121362
2023-06-06,-0.036324387878836295,0.0
2023-06-07,-0.06562116304329924,-0.0034578785039998117
2023-06-08,-0.03981501603103643,0.0
2023-06-09,-0.03333244808772173,0.0
2023-06-12,-0.015579846822048937,0.0
2023-06-13,0.0,0.0
2023-06-14,0.0,0.0
2023-06-15,-0.008000549073828633,0.0
2023-06-16,-0.007093653846597769,-0.003406170701901967
2023-06-20,0.0,-0.008576617166202949
2023-06-21,-0.017417027486190673,-0.013656567740973569
2023-06-22,-0.017873496682145218,-0.010095987979737986
2023-06-23,-0.036500280827030274,-0.017579704272616348
2023-06-26,-0.07249825381796215,-0.021593623299932196
2023-06-27,-0.044101564831828366,-0.010867173457977608
2023-06-28,-0.06142717647484286,-0.010368192163685674
2023-06-29,-0.06816127358217172,-0.006467625865773652
2023-06-30,-0.03437741148501916,0.0
2023-07-03,-0.031843563004382625,0.0
2023-07-05,-0.03403484172379401,-0.001487048820723369
2023-07-06,-0.03891970699871472,-0.009306176068943794
2023-07-07,-0.0297891901854761,-0.011807396884266907
2023-07-10,-0.03716215244659338,-0.009306176068943683
2023-07-11,-0.032026307545030996,-0.0029967376340250818
2023-07-12,0.0,0.0
2023-07-13,0.0,0.0
2023-07-14,-0.011049074160722205,-0.000622620982025035
2023-07-17,0.0,0.0
2023-07-18,0.0,0.0
2023-07-19,-0.008780323432801662,0.0
2023-07-20,-0.04156345574598663,-0.0066345902834228365
2023-07-21,-0.06706129571182728,-0.0066345902834228365
2023-07-24,-0.06068151039054237,-0.0021969770534174815
2023-07-25,-0.038215451028508096,0.0
2023-07-26,-0.042995065167568125,0.0
2023-07-27,-0.033562197923177606,-0.006630005937484418
2023-07-28,-0.015665311741994592,0.0
2023-07-31,-0.016107655742385485,0.0
2023-08-01,-0.02078164749065614,-0.002861679684434515
2023-08-02,-0.06790346145634762,-0.01673264410906905
2023-08-03,-0.0627237844261469,-0.01955056659021559
2023-08-04,-0.05924965982194963,-0.023984882921528783
2023-08-07,-0.043732010432983914,-0.015465686726169325
2023-08-08,-0.05958646181388816,-0.019747128916657863
2023-08-09,-0.06587328785503155,-0.026300287741571116
2023-08-10,-0.06553805314749062,-0.025950851274304187
2023-08-11,-0.06608304956814426,-0.026518935722669834
2023-08-14,-0.060927731707361765,-0.0211452198740798
2023-08-15,-0.0718668580163212,-0.03254776730250564
2023-08-16,-0.07867762485161278,-0.039647062956469914
2023-08-17,-0.08569802097469303,-0.046964868556190975
2023-08-18,-0.08525797162325754,-0.046506177116045544
2023-08-21,-0.07930631407699318,-0.0403023857407282
2023-08-22,-0.08180014777733369,-0.042901867293788754
2023-08-23,-0.05268677268956967,-0.03224195000318508
2023-08-24,-0.051741802889113786,-0.045654084952332585
2023-08-25,-0.07476326601089822,-0.03892624240262088
2023-08-28,-0.05833648085241128,-0.03283177501785306
2023-08-29,-0.019150054681582596,-0.018851624638010933
2023-08-30,-0.009499250278097837,-0.014810294924240353
2023-08-31,-0.007669489080529335,-0.016252143084950266
2023-09-01,-0.024679252521402906,-0.014417170271356028
2023-09-05,-0.02389501432375385,-0.01867680287787099
2023-09-06,-0.05371479482729191,-0.02527358087073084
2023-09-07,-0.07020290976163501,-0.028266325112016877
2023-09-08,-0.08365500889568356,-0.0268028054026751
2023-09-11,-0.09157744964090664,-0.020402382683244902
2023-09-12,-0.09777060562985729,-0.025776167549505513
2023-09-13,-0.08540425077551339,-0.024640205705786844
2023-09-14,-0.07821936412081898,-0.01623033350097658
2023-09-15,-0.10129801142519335,-0.028082945160697537
2023-09-18,-0.10445493909471792,-0.027513066252891183
2023-09-19,-0.10557079717339646,-0.029529831611376123
2023-09-20,-0.12701633483542285,-0.03845167689819029
2023-09-21,-0.1414454668328624,-0.05434465202429073
2023-09-22,-0.1433759179414421,-0.056470948426337264
2023-09-25,-0.1397735538077024,-0.05250312253197009
2023-09-26,-0.15241146679092932,-0.06642315852054426
2023-09-27,-0.15207309896483445,-0.06605046309821727
2023-09-28,-0.14976884780875965,-0.060635888788513226
2023-09-29,-0.14404911729874903,-0.06291574950809264
2023-10-02,-0.12764842460311954,-0.06328844493041963
2023-10-03,-0.1504465637767527,-0.07582729929091814
2023-10-04,-0.1353473353401755,-0.06909731719341183
2023-10-05,-0.12912367000292768,-0.06944820303176558
2023-10-06,-0.11627772344058507,-0.05839985428989214
2023-10-09,-0.10880917130820233,-0.05237157485142263
2023-10-10,-0.11179679200714632,-0.04743929602527808
2023-10-11,-0.10477635607726021,-0.04353745102419693
2023-10-12,-0.10211784637945842,-0.049368477959516266
2023-10-13,-0.13050115370975357,-0.05410343526483985
2023-10-16,-0.11837497049654366,-0.04415129418830355
2023-10-17,-0.15963035072127307,-0.04419505139159141
2023-10-18,-0.19294838708197104,-0.05693115825524009
2023-10-19,-0.18999025118285773,-0.06521728177630359
2023-10-20,-0.2013583663784705,-0.07670409978077786
2023-10-23,-0.1948798677639001,-0.07830434349597681
2023-10-24,-0.1919216558162522,-0.07135529931134699
2023-10-25,-0.16713143055384694,-0.08468343975512915
2023-10-26,-0.19837589494828334,-0.09564392900207253
2023-10-27,-0.1936817991497135,-0.09974323355931636
2023-10-30,-0.17534596511640832,-0.08897978976251053
2023-10-31,-0.17338999680633604,-0.0832585009237653
2023-11-01,-0.15392948099473935,-0.07348166473106421
2023-11-02,-0.14842873838960124,-0.055725557581682295
2023-11-03,-0.1374761523870769,-0.0471105648592508
2023-11-06,-0.12835686840830496,-0.04491842559925974
2023-11-07,-0.11857763524622011,-0.04220030267009167
2023-11-08,-0.11204993322975942,-0.041498738046396255
2023-11-09,-0.11818659368127493,-0.04897390393554435
2023-11-10,-0.09623229432287062,-0.03413337927149296
2023-11-13,-0.10354238366336022,-0.035054005982311565
2023-11-14,-0.09476547018738568,-0.016333169830469063
2023-11-15,-0.09439792761963373,-0.014250699649381304
2023-11-16,-0.08343169702382336,-0.013045098975824065
2023-11-17,-0.08680307698730338,-0.011817619700622894
2023-11-20,-0.06622292970850419,-0.004210906130927561
2023-11-21,-0.07483654140243345,-0.006381028753932982
2023-11-22,-0.0975841811543453,-0.002544957593125341
2023-11-24,-0.11499667239681555,-0.0019311834466891886
2023-11-27,-0.10636446320450332,-0.003728610647367736
2023-11-28,-0.11416303776398495,-0.0027421410786044875
2023-11-29,-0.10825384175693387,-0.003443705702299793
2023-11-30,-0.13363171934095786,0.0
2023-12-01,-0.1277480012260016,0.0
2023-12-04,-0.13600357386836792,-0.0052495045693051745
2023-12-05,-0.11780491702274598,-0.005445434319060305
2023-12-06,-0.12282202573373513,-0.009453250386767253
2023-12-07,-0.11392802832841709,-0.001895039123200104
2023-12-08,-0.10736010788462313,0.0
2023-12-11,-0.11889964074888637,0.0
2023-12-12,-0.11192119890778962,0.0
2023-12-13,-0.09709777614047077,0.0
2023-12-14,-0.09641371444931612,0.0
2023-12-15,-0.0920457541002554,-0.0016465667898449832
2023-12-18,-0.08632677232781183,0.0
2023-12-19,-0.08165827665955139,0.0
2023-12-20,-0.09530453654456894,-0.013857315461203057
2023-12-21,-0.08477809967534311,-0.004506818803774459
2023-12-22,-0.08340897120710544,-0.002506070198758037
2023-12-26,-0.07779786857163229,0.0
2023-12-27,-0.07592035533444375,0.0
2023-12-28,-0.07636956267327522,0.0
2023-12-29,-0.08036691829584364,-0.0028949148158421423
