,Mean Daily Return,Volatility,Sharpe Approx,Max Drawdown
Strategy,0.0031745627015686644,0.02595214120434614,0.12232372953631389,-0.2013583663784705
SPY,0.0009810561458168795,0.008230511555529684,0.11919746897843247,-0.09974323355931636
