Date,Strategy,SPY
2023-01-03,0.0,0.0
2023-01-04,0.0,0.007720258717902828
2023-01-05,0.0,-0.011413403376530518
2023-01-06,0.0,0.02293192300902014
2023-01-09,0.0,-0.0005668237640740204
2023-01-10,0.0,0.007012902677220989
2023-01-11,0.0,0.012647938687804894
2023-01-12,0.0,0.0036406431735866995
2023-01-13,0.0,0.0038794882244830298
2023-01-17,0.0,-0.0018319928436206778
2023-01-18,0.0,-0.015787832202452612
2023-01-19,0.0,-0.007279966966605045
2023-01-20,0.0,0.018629247407303096
2023-01-23,0.0,0.011998380155554544
2023-01-24,0.0,-0.0010733437526395662
2023-01-25,0.0,0.00037489670056700675
2023-01-26,0.0,0.010990383722365271
2023-01-27,0.0,0.0022977109485289304
2023-01-30,0.0,-0.012546918623589032
2023-01-31,0.0,0.014703449236052268
2023-02-01,0.07196592175811745,0.010627753502342907
2023-02-02,0.03657544283954839,0.014557004057750289
2023-02-03,-0.028052810215158264,-0.010629155737525209
2023-02-06,-0.000521409459717681,-0.006111340956869826
2023-02-07,0.051401197314200564,0.013078716200208618
2023-02-08,0.0014432371637358443,-0.010934766715648192
2023-02-09,0.005944601606443278,-0.008669173695883603
2023-02-10,-0.04799218304703878,0.0023336122428232464
2023-02-13,0.024594443627864004,0.01173888505479348
2023-02-14,0.054296041282448027,-0.00045989391903644705
2023-02-15,-0.009011343871628719,0.003247277246131164
2023-02-16,-0.033473960419757476,-0.013769022885905091
2023-02-17,-0.02790668410970021,-0.0024981132964047026
2023-02-21,-0.03427146893538002,-0.020060985332878922
2023-02-22,0.004793047132801043,-0.0013782051665544026
2023-02-23,0.14021395261630065,0.005319459520036096
2023-02-24,-0.01597371497537492,-0.010682419304821167
2023-02-27,0.009233090351517426,0.0034060249135343668
2023-02-28,-0.012127341021151206,-0.0036960510650219103
2023-03-01,-0.022312046587242063,-0.00383572961327705
2023-03-02,0.027139127491305315,0.007777127506390924
2023-03-03,0.024706055108744795,0.01603799562225472
2023-03-06,-0.014064376567940129,0.000692536483984485
2023-03-07,-0.011125348500571008,-0.015328756295355461
2023-03-08,0.03834592198261788,0.001632185091388072
2023-03-09,-0.03080938484257212,-0.01844978667740882
2023-03-10,-0.02009718690701512,-0.014429445326960666
2023-03-13,4.347600195342416e-05,-0.0014254398447062222
2023-03-14,0.0477661621453036,0.016530205709997636
2023-03-15,0.006857080114515357,-0.0062543288932490615
2023-03-16,0.054193712280007356,0.017545090602354207
2023-03-17,0.007203977457803656,-0.011692774016264895
2023-03-20,0.00680270240987646,0.00961586391890834
2023-03-21,0.011544367533425914,0.013130427484720597
2023-03-22,0.010267441541884637,-0.017046505197727657
2023-03-23,0.02731622792152577,0.00270333835799752
2023-03-24,-0.015152169366285495,0.006562068798356968
2023-03-27,-0.009261100881198248,0.0018698430867172267
2023-03-28,-0.004560578172602692,-0.002244598981192225
2023-03-29,0.021734182080220155,0.014534815441520799
2023-03-30,0.014786548504075903,0.005855145497216885
2023-03-31,0.014388366327660274,0.014094714868811531
2023-04-03,0.0067683990635221125,0.003810451901469003
2023-04-04,-0.018308733163321045,-0.005547975756303614
2023-04-05,-0.009889134907655195,-0.002618393613733172
2023-04-06,0.025532902784060285,0.0039009444256634662
2023-04-10,0.020046619849114267,0.0010264340878418654
2023-04-11,-0.014866456005066975,0.0002686555539270774
2023-04-12,-0.02480750652360375,-0.004076043312981614
2023-04-13,-0.001207891848286402,0.013282608127970441
2023-04-14,-0.00211403285848466,-0.0024427278569687516
2023-04-17,0.0001209640998041106,0.0035883341848610417
2023-04-18,0.024627653974890196,0.0006522019765251574
2023-04-19,0.009542289177875363,-0.00016897352145872624
2023-04-20,-0.00584610522989415,-0.005457074812173723
2023-04-21,0.0007769630868232902,0.0007769630868232902
2023-04-24,0.001043019616031593,0.001043019616031593
2023-04-25,-0.009435655553629907,-0.01587370147474576
2023-04-26,0.0724349114134164,-0.004235658721972402
2023-04-27,0.03202762286488858,0.019908131518948213
2023-04-28,0.007971743022611166,0.008535071813823958
2023-05-01,-0.005532783447504519,-0.00100957237164645
2023-05-02,-0.000490953953590223,-0.0112394753466456
2023-05-03,-0.0033069234983565954,-0.006863785127400379
2023-05-04,0.0033178955250334763,-0.007082992416231559
2023-05-05,0.01715735714528277,0.018512393951233053
2023-05-08,-0.00040329467311239764,0.00026653560206257865
