,Total Return,Volatility,Mean Daily Return,Max Drawdown
Strategy,1.0415400862540545,0.025952141204346163,0.0031745627015686687,-0.2013583663784715
SPY,0.2670920896257125,0.008230511555529722,0.0009810561458168845,-0.09974323355931791
